2024-02-14 16:03:20,188 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:03:20,250 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:03:20,255 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:03:23,603 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:03:23,604 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:03:23,608 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:03:23,608 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:03:23,609 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:03:23,636 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:03:23,636 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:03:23,637 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:03:28,327 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:03:30,671 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:03:33,844 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:03:48,492 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:03:48,558 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:03:48,564 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:03:52,001 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:03:52,001 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:03:52,004 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:03:52,005 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:03:52,006 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:03:52,032 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:03:52,032 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:03:52,033 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:03:56,707 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:03:59,411 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:04:02,584 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:04:02,585 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-14 16:04:02,649 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:04:02,655 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:04:13,863 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:04:13,864 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:04:13,867 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:04:13,868 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:04:13,869 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:04:13,897 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:04:13,898 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:04:13,898 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:04:18,487 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:04:21,131 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:04:24,305 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:06:21,251 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:06:21,253 | MainThread   | [WARNING ] | exit_handler        |: 
2024-02-14 16:06:21,307 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-14 16:06:21,312 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-14 16:14:53,655 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:14:53,656 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:14:53,658 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:14:53,659 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:14:53,660 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:14:53,687 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:14:53,687 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:14:53,688 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:14:58,399 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-02-14 16:14:59,663 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-14 16:15:02,836 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-02-14 16:15:06,135 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-14 16:15:09,564 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-02-14 16:15:09,565 | MainThread   | [INFO    ] | <module>            |: info
2024-02-14 16:15:09,567 | MainThread   | [WARNING ] | <module>            |: warning
2024-02-14 16:15:09,568 | MainThread   | [ERROR   ] | <module>            |: error
2024-02-14 16:15:09,569 | MainThread   | [CRITICAL] | <module>            |: critical
2024-02-14 16:15:09,596 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=2, releaselevel='final', serial=0)
2024-02-14 16:15:09,596 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-14 16:15:09,596 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-02-14 16:15:23,216 | MainThread   | [ERROR   ] | _connect            |: 
2024-02-14 16:15:24,218 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
