Time,Distance,PID
4903.298,930.0,100.0
4903.303,930.0,100.0
4903.315,930.0,100.0
4903.322,930.0,100.0
4903.329,930.0,100.0
4903.34,930.0,100.0
4903.351,930.0,100.0
4903.362,930.0,100.0
4903.367,930.0,100.0
4903.374,930.0,100.0
4903.382,930.0,100.0
4903.393,930.0,100.0
4903.405,923.0,100.0
4903.414,923.0,100.0
4903.419,923.0,100.0
4903.425,922.0,100.0
4903.433,922.0,100.0
4903.443,921.0,100.0
4903.45,921.0,100.0
4903.458,920.0,100.0
4903.461,920.0,100.0
4903.466,920.0,100.0
4903.472,920.0,100.0
4903.478,919.0,100.0
4903.483,919.0,100.0
4903.499,918.0,100.0
4903.511,898.0,95.0
4903.519,896.0,100.0
4903.526,894.0,100.0
4903.53,894.0,100.0
4903.541,891.0,100.0
4903.553,888.0,100.0
4903.564,885.0,100.0
4903.575,883.0,100.0
4903.58,882.0,100.0
4903.592,879.0,100.0
4903.604,860.0,93.0
4903.613,856.0,100.0
4903.624,852.0,100.0
4903.635,848.0,100.0
4903.647,843.0,100.0
4903.655,839.0,100.0
4903.658,838.0,100.0
4903.663,836.0,100.0
4903.674,832.0,100.0
4903.685,827.0,100.0
4903.703,805.0,93.0
4903.713,799.0,98.0
4903.724,793.0,98.0
4903.73,790.0,98.0
4903.741,784.0,97.0
4903.752,778.0,97.0
4903.763,772.0,96.0
4903.774,766.0,96.0
4903.78,762.0,95.0
4903.79,757.0,96.0
4903.798,752.0,95.0
4903.819,736.0,93.0
4903.828,731.0,94.0
4903.834,727.0,93.0
4903.842,722.0,93.0
4903.845,720.0,92.0
4903.85,717.0,93.0
4903.856,714.0,93.0
4903.862,710.0,92.0
4903.867,707.0,92.0
4903.878,701.0,92.0
4903.883,698.0,92.0
4903.89,694.0,92.0
4903.895,691.0,91.0
4903.9,688.0,91.0
4903.912,656.0,73.0
4903.922,647.0,86.0
4903.933,638.0,86.0
4903.943,629.0,85.0
4903.955,619.0,85.0
4903.965,610.0,84.0
4903.976,601.0,84.0
4903.982,595.0,82.0
4903.996,583.0,83.0
4904.007,571.0,80.0
4904.015,563.0,80.0
4904.026,554.0,81.0
4904.032,548.0,79.0
4904.038,543.0,80.0
4904.049,533.0,79.0
4904.061,522.0,78.0
4904.071,513.0,78.0
4904.082,504.0,78.0
4904.093,494.0,77.0
4904.098,489.0,76.0
4904.105,483.0,77.0
4904.124,475.0,80.0
4904.128,471.0,75.0
4904.133,467.0,76.0
4904.139,463.0,77.0
4904.149,454.0,75.0
4904.165,442.0,75.0
4904.172,435.0,73.0
4904.18,429.0,74.0
4904.184,425.0,72.0
4904.195,416.0,73.0
4904.2,412.0,73.0
4904.205,408.0,73.0
4904.213,375.0,-55.0
4904.221,366.0,67.0
4904.226,361.0,68.0
4904.241,344.0,66.0
4904.248,336.0,66.0
4904.256,328.0,66.0
4904.259,324.0,63.0
4904.264,319.0,66.0
4904.27,312.0,64.0
4904.277,304.0,64.0
4904.281,300.0,65.0
4904.297,283.0,63.0
4904.304,274.0,61.0
4904.315,268.0,66.0
4904.325,258.0,62.0
4904.33,253.0,62.0
4904.336,246.0,60.0
4904.344,238.0,61.0
4904.353,229.0,60.0
4904.364,217.0,59.0
4904.37,211.0,59.0
4904.378,202.0,58.0
4904.382,198.0,58.0
4904.387,193.0,58.0
4904.393,187.0,58.0
4904.402,177.0,56.0
4904.42,164.0,59.0
4904.43,154.0,56.0
4904.436,148.0,55.0
4904.444,140.0,55.0
4904.447,137.0,55.0
4904.458,126.0,54.0
4904.463,121.0,54.0
4904.474,110.0,53.0
4904.484,100.0,53.0
4904.5,84.0,52.0
4904.512,72.0,51.0
4904.524,52.0,-55.0
4904.533,43.0,0.0
4904.535,41.0,0.0
4904.535,41.0,0.0
4904.536,40.0,0.0
4904.542,33.0,-52.0
4904.543,32.0,-51.0
4904.554,20.0,-52.0
4904.561,13.0,-52.0
4904.568,5.0,-53.0
4904.578,-5.0,-53.0
4904.589,-17.0,-54.0
4904.6,-29.0,-55.0
4904.611,-40.0,-55.0
4904.624,-58.0,-59.0
4904.632,-67.0,-58.0
4904.643,-79.0,-58.0
4904.65,-86.0,-58.0
4904.656,-93.0,-60.0
4904.661,-98.0,-59.0
4904.667,-105.0,-61.0
4904.678,-117.0,-61.0
4904.69,-130.0,-62.0
4904.7,-141.0,-63.0
4904.711,-153.0,-64.0
4904.723,-132.0,59.0
4904.732,-139.0,-60.0
4904.739,-144.0,-60.0
4904.746,-150.0,-62.0
4904.754,-156.0,-62.0
4904.757,-158.0,-61.0
4904.763,-162.0,-61.0
4904.769,-167.0,-63.0
4904.775,-172.0,-64.0
4904.78,-175.0,-62.0
4904.785,-179.0,-64.0
4904.796,-188.0,-65.0
4904.809,-198.0,-65.0
4904.819,-179.0,56.0
4904.832,-185.0,-62.0
4904.843,-191.0,-64.0
4904.852,-195.0,-63.0
4904.864,-201.0,-64.0
4904.876,-207.0,-65.0
4904.881,-209.0,-64.0
4904.888,-213.0,-66.0
4904.892,-215.0,-66.0
4904.903,-220.0,-66.0
4904.915,-226.0,-67.0
4904.926,-199.0,57.0
4904.935,-200.0,-63.0
4904.941,-201.0,-63.0
4904.952,-204.0,-65.0
4904.963,-206.0,-64.0
4904.97,-207.0,-64.0
4904.98,-209.0,-65.0
4904.991,-211.0,-65.0
4904.998,-212.0,-65.0
4905.009,-214.0,-66.0
4905.021,-194.0,0.0
4905.03,-194.0,-63.0
4905.031,-194.0,-63.0
4905.042,-194.0,-64.0
4905.053,-193.0,-63.0
4905.065,-193.0,-64.0
4905.075,-192.0,-63.0
4905.086,-192.0,-64.0
4905.097,-191.0,-64.0
4905.108,-191.0,-65.0
4905.115,-190.0,-64.0
4905.127,-187.0,-63.0
4905.131,-187.0,-65.0
4905.139,-187.0,-65.0
4905.142,-186.0,-62.0
4905.148,-186.0,-65.0
4905.159,-185.0,-65.0
4905.17,-185.0,-65.0
4905.181,-184.0,-65.0
4905.191,-183.0,-65.0
4905.202,-182.0,-65.0
4905.209,-182.0,-65.0
4905.22,-181.0,-65.0
4905.23,-177.0,-62.0
4905.239,-177.0,-65.0
4905.246,-176.0,-64.0
4905.258,-175.0,-64.0
4905.266,-174.0,-64.0
4905.277,-173.0,-64.0
4905.282,-172.0,-63.0
4905.289,-172.0,-65.0
4905.301,-171.0,-64.0
4905.313,-169.0,-63.0
4905.322,-168.0,-64.0
4905.334,-161.0,-59.0
4905.343,-160.0,-63.0
4905.355,-158.0,-63.0
4905.367,-156.0,-63.0
4905.379,-154.0,-62.0
4905.388,-153.0,-63.0
4905.399,-151.0,-62.0
4905.412,-149.0,-62.0
4905.424,-147.0,-62.0
4905.432,-138.0,-54.0
4905.441,-136.0,-61.0
4905.447,-135.0,-61.0
4905.454,-133.0,-60.0
4905.465,-131.0,-61.0
4905.474,-128.0,-60.0
4905.485,-126.0,-61.0
4905.491,-124.0,-59.0
4905.498,-123.0,-61.0
4905.502,-122.0,-60.0
4905.507,-121.0,-60.0
4905.513,-119.0,-59.0
4905.519,-118.0,-60.0
4905.524,-117.0,-60.0
4905.54,-116.0,-61.0
4905.551,-114.0,-60.0
4905.56,-112.0,-59.0
4905.571,-110.0,-60.0
4905.578,-109.0,-60.0
4905.589,-106.0,-59.0
4905.594,-105.0,-59.0
4905.601,-104.0,-60.0
4905.605,-103.0,-59.0
4905.616,-101.0,-59.0
4905.621,-100.0,-59.0
4905.632,-82.0,53.0
4905.641,-79.0,-57.0
4905.648,-76.0,-56.0
4905.659,-72.0,-56.0
4905.669,-68.0,-55.0
4905.679,-65.0,-56.0
4905.686,-62.0,-55.0
4905.696,-58.0,-55.0
4905.707,-54.0,-55.0
4905.714,-52.0,-55.0
4905.725,-48.0,-54.0
4905.737,-55.0,-62.0
4905.747,-53.0,-56.0
4905.757,-50.0,-55.0
4905.768,-47.0,-55.0
4905.783,-44.0,-56.0
4905.791,-41.0,-54.0
4905.801,-39.0,-55.0
4905.812,-36.0,-54.0
4905.825,-33.0,-55.0
4905.835,-29.0,-53.0
4905.849,-26.0,-54.0
4905.859,-23.0,-53.0
4905.869,-20.0,-53.0
4905.875,-19.0,-54.0
4905.88,-17.0,-52.0
4905.885,-16.0,-54.0
4905.896,-13.0,-53.0
4905.907,-10.0,-53.0
4905.918,-7.0,-53.0
4905.929,-4.0,-53.0
4905.941,1.0,-51.0
4905.95,3.0,-53.0
4905.956,5.0,-52.0
4905.961,6.0,-53.0
4905.971,9.0,-52.0
4905.98,12.0,-51.0
4905.99,15.0,-51.0
4905.991,15.0,-54.0
4906.002,18.0,-51.0
4906.013,21.0,-51.0
4906.024,24.0,-51.0
4906.036,28.0,0.0
4906.047,29.0,-52.0
4906.048,29.0,-53.0
4906.064,33.0,0.0
4906.075,36.0,0.0
4906.076,36.0,-52.0
4906.077,37.0,55.0
4906.087,39.0,0.0
4906.093,41.0,0.0
4906.094,41.0,-52.0
4906.095,41.0,-52.0
4906.108,45.0,0.0
4906.111,46.0,0.0
4906.112,46.0,-51.0
4906.113,46.0,-51.0
4906.127,50.0,0.0
4906.139,63.0,58.0
4906.139,63.0,0.0
4906.15,67.0,52.0
4906.151,67.0,0.0
4906.157,70.0,53.0
4906.158,70.0,0.0
4906.168,74.0,53.0
4906.169,74.0,0.0
4906.18,78.0,53.0
4906.181,78.0,0.0
4906.186,80.0,53.0
4906.187,81.0,58.0
4906.198,85.0,54.0
4906.206,88.0,54.0
4906.213,90.0,53.0
4906.223,94.0,55.0
4906.229,96.0,54.0
4906.235,98.0,54.0
4906.243,85.0,-61.0
4906.245,85.0,51.0
4906.256,87.0,53.0
4906.263,89.0,54.0
4906.274,91.0,53.0
4906.282,93.0,54.0
4906.289,94.0,53.0
4906.299,97.0,55.0
4906.305,98.0,54.0
4906.311,99.0,54.0
4906.316,100.0,54.0
4906.322,101.0,54.0
4906.333,104.0,55.0
4906.349,89.0,-54.0
4906.355,89.0,52.0
4906.366,89.0,52.0
4906.377,90.0,53.0
4906.388,90.0,53.0
4906.395,90.0,53.0
4906.406,91.0,54.0
4906.411,91.0,53.0
4906.419,91.0,53.0
4906.422,91.0,53.0
4906.428,92.0,55.0
4906.434,92.0,53.0
4906.441,82.0,-58.0
4906.444,82.0,53.0
4906.455,82.0,53.0
4906.47,81.0,52.0
4906.477,80.0,52.0
4906.488,79.0,52.0
4906.493,79.0,53.0
4906.5,79.0,53.0
4906.504,78.0,51.0
4906.51,78.0,53.0
4906.517,77.0,52.0
4906.524,77.0,53.0
4906.534,76.0,52.0
4906.546,73.0,51.0
4906.555,73.0,53.0
4906.564,72.0,52.0
4906.573,71.0,52.0
4906.58,71.0,53.0
4906.584,70.0,51.0
4906.595,69.0,52.0
4906.6,69.0,53.0
4906.606,68.0,52.0
4906.612,68.0,53.0
4906.617,67.0,52.0
4906.623,67.0,53.0
4906.634,66.0,52.0
4906.647,55.0,-53.0
4906.655,54.0,52.0
4906.657,54.0,53.0
4906.667,52.0,51.0
4906.673,51.0,51.0
4906.678,50.0,51.0
4906.685,49.0,51.0
4906.689,48.0,0.0
4906.704,45.0,51.0
4906.705,45.0,52.0
4906.716,43.0,51.0
4906.73,41.0,51.0
4906.742,38.0,0.0
4906.75,35.0,0.0
4906.751,35.0,52.0
4906.751,35.0,0.0
4906.757,34.0,0.0
4906.758,34.0,52.0
4906.758,34.0,0.0
4906.772,31.0,0.0
4906.773,31.0,52.0
4906.774,31.0,52.0
4906.785,29.0,0.0
4906.795,27.0,0.0
4906.796,26.0,-56.0
4906.801,25.0,0.0
4906.808,24.0,0.0
4906.809,24.0,51.0
4906.809,24.0,0.0
4906.82,22.0,0.0
4906.821,22.0,51.0
4906.827,20.0,-51.0
4906.839,18.0,0.0
4906.85,10.0,-54.0
4906.85,10.0,0.0
4906.86,8.0,0.0
4906.861,8.0,0.0
4906.862,7.0,-57.0
4906.862,7.0,0.0
4906.868,6.0,0.0
4906.869,6.0,0.0
4906.87,5.0,-57.0
4906.87,5.0,0.0
4906.881,3.0,0.0
4906.882,2.0,-57.0
4906.887,1.0,-51.0
4906.894,-1.0,-51.0
4906.902,-3.0,-51.0
4906.905,-3.0,0.0
4906.911,-5.0,-52.0
4906.911,-5.0,0.0
4906.924,-8.0,-51.0
4906.925,-8.0,0.0
4906.936,-11.0,-52.0
4906.939,-12.0,-52.0
4906.952,-6.0,53.0
4906.96,-7.0,0.0
4906.967,-8.0,-51.0
4906.968,-8.0,0.0
4906.98,-10.0,-51.0
4906.981,-10.0,0.0
4906.992,-12.0,-51.0
4906.992,-12.0,0.0
4907.003,-14.0,-51.0
4907.004,-14.0,0.0
4907.015,-16.0,-52.0
4907.021,-16.0,0.0
4907.038,-19.0,-52.0
4907.039,-19.0,0.0
4907.051,-5.0,59.0
4907.052,-5.0,0.0
4907.058,-5.0,0.0
4907.058,-5.0,0.0
4907.059,-5.0,0.0
4907.06,-5.0,0.0
4907.061,-5.0,0.0
4907.062,-5.0,0.0
4907.063,-5.0,0.0
4907.064,-5.0,0.0
4907.065,-5.0,0.0
4907.066,-5.0,0.0
4907.067,-5.0,0.0
4907.067,-5.0,0.0
4907.068,-5.0,0.0
4907.069,-5.0,0.0
4907.072,-5.0,0.0
4907.073,-5.0,0.0
4907.073,-5.0,0.0
4907.074,-5.0,0.0
4907.075,-5.0,0.0
4907.076,-5.0,0.0
4907.077,-5.0,0.0
4907.079,-5.0,0.0
4907.08,-5.0,0.0
4907.081,-5.0,0.0
4907.082,-5.0,0.0
4907.083,-5.0,0.0
4907.083,-5.0,0.0
4907.084,-5.0,0.0
4907.085,-5.0,0.0
4907.086,-5.0,0.0
4907.087,-5.0,0.0
4907.087,-5.0,0.0
4907.088,-5.0,0.0
4907.089,-5.0,0.0
4907.09,-5.0,0.0
4907.091,-5.0,0.0
4907.092,-5.0,0.0
4907.093,-5.0,0.0
4907.094,-5.0,0.0
4907.095,-5.0,0.0
4907.096,-5.0,0.0
4907.096,-5.0,0.0
4907.097,-5.0,0.0
4907.098,-5.0,0.0
4907.104,-5.0,0.0
4907.105,-5.0,0.0
4907.105,-5.0,0.0
4907.106,-5.0,0.0
4907.107,-5.0,0.0
4907.108,-5.0,0.0
4907.113,-5.0,0.0
4907.113,-5.0,0.0
4907.114,-5.0,0.0
4907.115,-5.0,0.0
4907.116,-5.0,0.0
4907.117,-5.0,0.0
4907.12,-5.0,0.0
4907.121,-5.0,0.0
4907.122,-5.0,0.0
4907.124,-5.0,0.0
4907.125,-5.0,0.0
4907.128,-5.0,0.0
4907.13,-5.0,0.0
4907.131,-5.0,0.0
4907.133,-5.0,0.0
4907.136,-5.0,0.0
4907.137,-5.0,0.0
4907.139,-5.0,0.0
4907.14,-5.0,0.0
4907.142,-5.0,0.0
4907.143,-5.0,0.0
4907.144,-5.0,0.0
4907.146,-5.0,0.0
4907.147,-5.0,0.0
4907.151,-4.0,52.0
4907.151,-4.0,0.0
4907.162,-4.0,0.0
4907.165,-4.0,0.0
4907.166,-4.0,0.0
4907.167,-4.0,0.0
4907.168,-4.0,0.0
4907.168,-4.0,0.0
4907.169,-4.0,0.0
4907.17,-4.0,0.0
