2024-04-28 23:50:35,138 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 23:50:39,695 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 23:56:10,723 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 23:57:04,181 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 23:57:09,160 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 00:15:54,909 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 02:52:31,854 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 02:52:31,855 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 02:52:31,856 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 02:52:31,856 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 02:52:31,857 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 02:52:36,122 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 02:52:36,131 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 02:52:36,132 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-29 02:52:36,387 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-29 02:52:36,411 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-29 02:52:40,262 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 02:52:40,262 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 02:52:40,265 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 02:52:40,266 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 02:52:40,267 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 02:52:40,697 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 02:52:40,698 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 02:52:40,698 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 02:52:45,196 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 02:56:46,757 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-29 03:02:39,254 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 03:02:39,255 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 03:02:39,256 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-29 03:02:39,367 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-29 03:02:39,380 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-29 03:02:43,071 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-29 03:02:43,071 | MainThread   | [INFO    ] | <module>            |: info
2024-04-29 03:02:43,073 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-29 03:02:43,074 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-29 03:02:43,075 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-29 03:02:44,053 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-29 03:02:44,054 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-29 03:02:44,054 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-29 03:02:48,862 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-29 03:50:58,480 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-29 03:50:58,539 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-29 03:50:58,540 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
