Time,Yaw,YawPWM
53.529,0.0,0.0
53.532,0.0,0.0
53.536,0.0,0.0
53.54,0.0,0.0
53.545,0.0,0.0
53.548,0.0,0.0
53.556,0.0,0.0
53.562,0.0,0.0
53.566,0.0,0.0
53.573,0.0,0.0
53.582,0.0,0.0
53.586,0.0,0.0
53.592,0.0,0.0
53.601,0.0,0.0
53.606,0.0,0.0
53.611,0.0,0.0
53.62,0.0,0.0
53.624,0.0,0.0
53.634,0.22,0.0
53.64,0.54,0.0
53.647,0.79,0.0
53.662,0.254,0.0
53.675,0.459,0.0
53.686,0.426,0.0
53.697,0.476,0.0
53.708,0.499,0.0
53.721,0.578,0.0
53.736,0.578,0.0
53.746,0.641,0.0
53.758,0.734,0.0
53.768,0.921,0.0
53.78,-1.41,0.0
53.794,-1.62,0.0
53.809,0.953,0.0
53.822,-1.45,0.0
53.835,0.969,0.0
53.847,-1.192,0.0
53.856,-1.264,0.0
53.868,-1.129,0.0
53.879,-1.381,0.0
53.89,-1.339,0.0
53.896,-1.365,0.0
53.91,-1.272,0.0
53.924,-1.144,0.0
53.939,0.992,0.0
53.945,0.932,0.0
53.953,-1.1,0.0
53.961,0.891,0.0
53.967,0.843,0.0
53.981,0.773,0.0
53.99,0.584,0.0
54.0,0.338,0.0
54.012,0.84,0.0
54.022,0.366,0.0
54.034,0.699,0.0
54.044,1.257,0.0
54.054,1.257,0.0
54.067,1.257,0.0
54.077,1.56,0.0
54.088,1.98,0.0
54.094,1.46,0.0
54.108,0.492,0.0
54.117,0.42,0.0
54.132,0.711,0.0
54.137,0.825,0.0
54.149,-1.275,0.0
54.159,-1.674,0.0
54.17,-1.683,0.0
54.184,-1.982,0.0
54.197,-2.168,0.0
54.208,-2.507,0.0
54.22,-2.592,0.0
54.232,-2.452,0.0
54.242,-2.692,0.0
54.252,-2.568,0.0
54.264,-2.577,0.0
54.276,-2.887,0.0
54.285,-2.717,0.0
54.297,-3.346,0.0
54.308,-3.546,0.0
54.319,-3.601,0.0
54.325,-3.698,0.0
54.342,-4.121,0.0
54.353,-4.741,0.0
54.366,-4.708,0.0
54.377,-5.144,0.0
54.392,-5.313,0.0
54.402,-5.473,0.0
54.411,-5.787,0.0
54.421,-5.645,0.0
54.433,-5.659,0.0
54.443,-5.539,0.0
54.453,-5.511,0.0
54.463,-5.321,0.0
54.478,-4.999,0.0
54.491,-4.789,0.0
54.506,-4.872,0.0
54.519,-4.872,0.0
54.525,-4.839,0.0
54.536,-5.118,0.0
54.548,-5.181,0.0
54.564,-5.372,0.0
54.575,-5.184,0.0
54.588,-5.184,0.0
54.599,-5.245,0.0
54.617,-5.276,0.0
54.631,-5.204,0.0
54.641,-5.373,0.0
54.649,-4.991,0.0
54.664,-5.181,0.0
54.678,-5.142,0.0
54.689,-5.27,0.0
54.7,-4.936,0.0
54.713,-5.61,0.0
54.724,-5.173,0.0
54.73,-5.264,0.0
